"","bootStrapNum","interactionDepth","shrinkage","bagFraction","totalTrees","validationAccuracy","bootstrapID"
"1",1,1,0.001,0.2,5369,0.641666666666667,1
"2",2,1,0.001,0.2,4715,0.525,1
"3",3,1,0.001,0.2,8389,0.6,1
"4",4,1,0.001,0.2,5773,0.591666666666667,1
"5",5,1,0.001,0.2,7150,0.633333333333333,1
"6",6,1,0.001,0.2,7782,0.658333333333333,1
"7",1,1,0.001,0.3,5844,0.641666666666667,2
"8",2,1,0.001,0.3,7491,0.633333333333333,2
"9",3,1,0.001,0.3,5504,0.658333333333333,2
"10",4,1,0.001,0.3,2874,0.691666666666667,2
"11",5,1,0.001,0.3,8832,0.608333333333333,2
"12",6,1,0.001,0.3,5385,0.675,2
"13",1,1,0.001,0.4,5648,0.633333333333333,3
"14",2,1,0.001,0.4,6876,0.658333333333333,3
"15",3,1,0.001,0.4,1524,0.616666666666667,3
"16",4,1,0.001,0.4,7297,0.616666666666667,3
"17",5,1,0.001,0.4,2956,0.658333333333333,3
"18",6,1,0.001,0.4,9995,0.625,3
"19",1,1,0.001,0.5,7139,0.566666666666667,4
"20",2,1,0.001,0.5,3771,0.7,4
"21",3,1,0.001,0.5,3694,0.666666666666667,4
"22",4,1,0.001,0.5,1620,0.675,4
"23",5,1,0.001,0.5,6773,0.65,4
"24",6,1,0.001,0.5,3271,0.608333333333333,4
"25",1,1,0.001,0.6,2555,0.716666666666667,5
"26",2,1,0.001,0.6,9730,0.633333333333333,5
"27",3,1,0.001,0.6,8971,0.541666666666667,5
"28",4,1,0.001,0.6,4802,0.675,5
"29",5,1,0.001,0.6,4083,0.7,5
"30",6,1,0.001,0.6,5889,0.675,5
"31",1,1,0.001,0.7,1066,0.666666666666667,6
"32",2,1,0.001,0.7,8006,0.566666666666667,6
"33",3,1,0.001,0.7,1023,0.725,6
"34",4,1,0.001,0.7,3464,0.625,6
"35",5,1,0.001,0.7,1736,0.683333333333333,6
"36",6,1,0.001,0.7,9416,0.616666666666667,6
"37",1,1,0.006,0.2,1273,0.616666666666667,7
"38",2,1,0.006,0.2,1947,0.641666666666667,7
"39",3,1,0.006,0.2,843,0.55,7
"40",4,1,0.006,0.2,813,0.65,7
"41",5,1,0.006,0.2,765,0.466666666666667,7
"42",6,1,0.006,0.2,1150,0.666666666666667,7
"43",1,1,0.006,0.3,443,0.591666666666667,8
"44",2,1,0.006,0.3,656,0.641666666666667,8
"45",3,1,0.006,0.3,1144,0.708333333333333,8
"46",4,1,0.006,0.3,574,0.625,8
"47",5,1,0.006,0.3,660,0.658333333333333,8
"48",6,1,0.006,0.3,967,0.616666666666667,8
"49",1,1,0.006,0.4,223,0.7,9
"50",2,1,0.006,0.4,584,0.625,9
"51",3,1,0.006,0.4,813,0.625,9
"52",4,1,0.006,0.4,806,0.633333333333333,9
"53",5,1,0.006,0.4,262,0.641666666666667,9
"54",6,1,0.006,0.4,765,0.666666666666667,9
"55",1,1,0.006,0.5,533,0.641666666666667,10
"56",2,1,0.006,0.5,2028,0.608333333333333,10
"57",3,1,0.006,0.5,221,0.641666666666667,10
"58",4,1,0.006,0.5,402,0.625,10
"59",5,1,0.006,0.5,541,0.7,10
"60",6,1,0.006,0.5,680,0.625,10
"61",1,1,0.006,0.6,278,0.7,11
"62",2,1,0.006,0.6,2064,0.625,11
"63",3,1,0.006,0.6,856,0.716666666666667,11
"64",4,1,0.006,0.6,355,0.675,11
"65",5,1,0.006,0.6,311,0.683333333333333,11
"66",6,1,0.006,0.6,299,0.691666666666667,11
"67",1,1,0.006,0.7,1271,0.591666666666667,12
"68",2,1,0.006,0.7,483,0.65,12
"69",3,1,0.006,0.7,277,0.716666666666667,12
"70",4,1,0.006,0.7,271,0.666666666666667,12
"71",5,1,0.006,0.7,1199,0.625,12
"72",6,1,0.006,0.7,322,0.708333333333333,12
"73",1,2,0.001,0.2,6170,0.583333333333333,13
"74",2,2,0.001,0.2,3020,0.575,13
"75",3,2,0.001,0.2,4508,0.6,13
"76",4,2,0.001,0.2,3845,0.608333333333333,13
"77",5,2,0.001,0.2,4256,0.616666666666667,13
"78",6,2,0.001,0.2,6014,0.6,13
"79",1,2,0.001,0.3,2963,0.658333333333333,14
"80",2,2,0.001,0.3,2905,0.675,14
"81",3,2,0.001,0.3,6499,0.641666666666667,14
"82",4,2,0.001,0.3,2730,0.691666666666667,14
"83",5,2,0.001,0.3,4073,0.633333333333333,14
"84",6,2,0.001,0.3,2035,0.633333333333333,14
"85",1,2,0.001,0.4,2144,0.591666666666667,15
"86",2,2,0.001,0.4,1477,0.725,15
"87",3,2,0.001,0.4,3073,0.7,15
"88",4,2,0.001,0.4,7419,0.591666666666667,15
"89",5,2,0.001,0.4,8398,0.6,15
"90",6,2,0.001,0.4,3734,0.633333333333333,15
"91",1,2,0.001,0.5,3898,0.65,16
"92",2,2,0.001,0.5,2490,0.591666666666667,16
"93",3,2,0.001,0.5,1630,0.658333333333333,16
"94",4,2,0.001,0.5,2932,0.675,16
"95",5,2,0.001,0.5,2790,0.633333333333333,16
"96",6,2,0.001,0.5,2847,0.608333333333333,16
"97",1,2,0.001,0.6,3945,0.65,17
"98",2,2,0.001,0.6,1449,0.716666666666667,17
"99",3,2,0.001,0.6,4967,0.666666666666667,17
"100",4,2,0.001,0.6,4489,0.625,17
"101",5,2,0.001,0.6,2371,0.658333333333333,17
"102",6,2,0.001,0.6,9663,0.633333333333333,17
"103",1,2,0.001,0.7,3296,0.608333333333333,18
"104",2,2,0.001,0.7,3761,0.658333333333333,18
"105",3,2,0.001,0.7,1725,0.733333333333333,18
"106",4,2,0.001,0.7,2223,0.691666666666667,18
"107",5,2,0.001,0.7,1262,0.716666666666667,18
"108",6,2,0.001,0.7,3645,0.75,18
"109",1,2,0.006,0.2,318,0.641666666666667,19
"110",2,2,0.006,0.2,728,0.65,19
"111",3,2,0.006,0.2,708,0.591666666666667,19
"112",4,2,0.006,0.2,368,0.575,19
"113",5,2,0.006,0.2,1451,0.591666666666667,19
"114",6,2,0.006,0.2,671,0.591666666666667,19
"115",1,2,0.006,0.3,715,0.666666666666667,20
"116",2,2,0.006,0.3,999,0.558333333333333,20
"117",3,2,0.006,0.3,918,0.65,20
"118",4,2,0.006,0.3,517,0.716666666666667,20
"119",5,2,0.006,0.3,689,0.641666666666667,20
"120",6,2,0.006,0.3,622,0.625,20
"121",1,2,0.006,0.4,868,0.666666666666667,21
"122",2,2,0.006,0.4,631,0.625,21
"123",3,2,0.006,0.4,462,0.633333333333333,21
"124",4,2,0.006,0.4,229,0.675,21
"125",5,2,0.006,0.4,583,0.733333333333333,21
"126",6,2,0.006,0.4,374,0.625,21
"127",1,2,0.006,0.5,372,0.683333333333333,22
"128",2,2,0.006,0.5,658,0.65,22
"129",3,2,0.006,0.5,759,0.583333333333333,22
"130",4,2,0.006,0.5,816,0.633333333333333,22
"131",5,2,0.006,0.5,300,0.675,22
"132",6,2,0.006,0.5,598,0.625,22
"133",1,2,0.006,0.6,608,0.7,23
"134",2,2,0.006,0.6,327,0.65,23
"135",3,2,0.006,0.6,340,0.675,23
"136",4,2,0.006,0.6,400,0.7,23
"137",5,2,0.006,0.6,267,0.675,23
"138",6,2,0.006,0.6,746,0.725,23
"139",1,2,0.006,0.7,139,0.683333333333333,24
"140",2,2,0.006,0.7,145,0.725,24
"141",3,2,0.006,0.7,589,0.625,24
"142",4,2,0.006,0.7,227,0.7,24
"143",5,2,0.006,0.7,361,0.591666666666667,24
"144",6,2,0.006,0.7,822,0.616666666666667,24
"145",1,3,0.001,0.2,7443,0.616666666666667,25
"146",2,3,0.001,0.2,1637,0.666666666666667,25
"147",3,3,0.001,0.2,3827,0.6,25
"148",4,3,0.001,0.2,3997,0.616666666666667,25
"149",5,3,0.001,0.2,4732,0.658333333333333,25
"150",6,3,0.001,0.2,2688,0.716666666666667,25
"151",1,3,0.001,0.3,2051,0.7,26
"152",2,3,0.001,0.3,4398,0.641666666666667,26
"153",3,3,0.001,0.3,5441,0.633333333333333,26
"154",4,3,0.001,0.3,4832,0.591666666666667,26
"155",5,3,0.001,0.3,4124,0.633333333333333,26
"156",6,3,0.001,0.3,4240,0.65,26
"157",1,3,0.001,0.4,2507,0.683333333333333,27
"158",2,3,0.001,0.4,3633,0.6,27
"159",3,3,0.001,0.4,3018,0.625,27
"160",4,3,0.001,0.4,3017,0.666666666666667,27
"161",5,3,0.001,0.4,3693,0.641666666666667,27
"162",6,3,0.001,0.4,3541,0.625,27
"163",1,3,0.001,0.5,2105,0.691666666666667,28
"164",2,3,0.001,0.5,4787,0.633333333333333,28
"165",3,3,0.001,0.5,1682,0.683333333333333,28
"166",4,3,0.001,0.5,2680,0.666666666666667,28
"167",5,3,0.001,0.5,2124,0.666666666666667,28
"168",6,3,0.001,0.5,2357,0.733333333333333,28
"169",1,3,0.001,0.6,2439,0.658333333333333,29
"170",2,3,0.001,0.6,2944,0.6,29
"171",3,3,0.001,0.6,1890,0.7,29
"172",4,3,0.001,0.6,1611,0.633333333333333,29
"173",5,3,0.001,0.6,2401,0.683333333333333,29
"174",6,3,0.001,0.6,2717,0.666666666666667,29
"175",1,3,0.001,0.7,1527,0.658333333333333,30
"176",2,3,0.001,0.7,1784,0.683333333333333,30
"177",3,3,0.001,0.7,2160,0.6,30
"178",4,3,0.001,0.7,3625,0.641666666666667,30
"179",5,3,0.001,0.7,2744,0.65,30
"180",6,3,0.001,0.7,735,0.783333333333333,30
"181",1,3,0.006,0.2,332,0.7,31
"182",2,3,0.006,0.2,422,0.575,31
"183",3,3,0.006,0.2,569,0.65,31
"184",4,3,0.006,0.2,620,0.625,31
"185",5,3,0.006,0.2,502,0.65,31
"186",6,3,0.006,0.2,767,0.666666666666667,31
"187",1,3,0.006,0.3,1171,0.608333333333333,32
"188",2,3,0.006,0.3,793,0.633333333333333,32
"189",3,3,0.006,0.3,589,0.608333333333333,32
"190",4,3,0.006,0.3,547,0.658333333333333,32
"191",5,3,0.006,0.3,727,0.575,32
"192",6,3,0.006,0.3,451,0.708333333333333,32
